,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup1run20,6548.429999999702,268.2730000000072,5.656000000000004,0.248,152.16100000000003,0,156.62099999999998,276.476,0,0,572.1929999999702,573.5999999996275,0,2,4118.4000000003725,8.599999999627471,noTrans,
setup1run21,6649.125,269.7580000000067,5.2489999999999855,0.068,146.75,0,154.543,316.0849999999999,0,0,588.1740000005811,589.738000000827,0,2,4167.5999999996275,8.800000000745058,noTrans,
setup1run22,6758.942000000738,282.43000000000035,5.491999999999996,0.074,145.55300000000005,0,156.393,302.093,0,0,622.5950000006706,623.4599999999627,0,2,4343.200000000186,8.099999999627471,noTrans,
setup1run23,6658.925999999978,269.4300000000078,5.529000000000002,0.088,149.83800000000002,0,157.619,291.77099999999996,0,0,578.0380000006407,578.7669999999925,0,2,4147.4000000003725,8.600000000558794,noTrans,
setup1run24,6541.953999999911,264.6310000000065,5.037000000000006,0.132,147.94299999999996,0,154.823,223.323,0,0,611.2369999997318,612.6109999995679,0,2,4139.9000000003725,9,noTrans,
setup1run25,6716.916000000201,267.7740000000079,5.276000000000017,0.169,143.49899999999997,0,156.673,319.837,0,0,617.2939999997616,617.972000000067,0,2,4036.800000000745,8.799999999813735,noTrans,
setup1run26,7228.052000000142,297.19500000000164,6.6170000000000035,0.085,145.996,0,159.834,323.44100000000003,0,0,718.671999999322,719.9279999993742,0,2,4695.299999999814,8.599999999627471,noTrans,
setup1run27,6779.820000000298,291.1440000000004,6.046000000000001,0.072,152.96900000000002,0,169.639,318.56899999999996,0,0,682.7560000000522,683.4980000006035,0,2,4397.5999999996275,10.700000000186265,noTrans,
setup1run28,6617.850999999791,275.49700000000473,5.413999999999997,0.087,146.501,0,158.25599999999997,232.547,0,0,644.4220000002533,645.4570000004023,0,2,4196.600000000559,9.599999999627471,noTrans,
setup1run29,6916.253999999724,291.70299999999946,5.800000000000005,0.074,155.16799999999998,0,166.153,308.39099999999996,0,0,628.4009999996051,629.3760000001639,0,2,4493.4000000003725,8.399999999441206,noTrans,
setup1run30,6829.933000000194,291.23500000000337,4.9639999999999995,0.09,152.89699999999996,0,163.972,335.53099999999995,0,0,711.7450000001118,712.4830000000075,0,2,4464.899999999441,8.099999999627471,noTrans,
setup1run31,7102.246000000276,291.91500000000246,6.001999999999994,0.055,160.945,0,175.147,336.138,0,0,665.3720000004396,666.3940000003204,0,2,4605,8.399999999441206,noTrans,
